Document,Date,Parliament-Session,Original Word Count,Final Word Count,Topic Coherence,Dominant Topic,Dominant Topic Value,Topic Keywords,Topic Keyword 0,Topic Keyword 1,Topic Keyword 2,Topic Keyword 3,Topic Keyword 4,Topic Keyword 5,Topic Keyword 6,Topic Keyword 7,Topic Keyword 8,Topic Keyword 9
20180507-HAN293-E.pdf,2018-05-07,42-1,67915,29053,0.347921282131917,3,employ,"harass, work, violenc, employ, like, legisl, want, workplac, victim, need",harass,work,violenc,employ,like,legisl,want,workplac,victim,need
20141127-HAN150-E.pdf,2014-11-27,41-2,65827,27470,0.3656566646514636,2,health,"drug, thalidomid, health, need, support, victim, survivor, like, live, us",drug,thalidomid,health,need,support,victim,survivor,like,live,us
20080502-HAN087-E.pdf,2008-05-02,39-2,53610,24902,0.3028892171389127,4,common,"ontario, tax, ethanol, secretari, common, parliamentari, like, get, biofuel, make",ontario,tax,ethanol,secretari,common,parliamentari,like,get,biofuel,make
20100603-HAN055-E.pdf,2010-06-03,40-3,75525,30887,0.28499136589393675,5,said,"budget, tax, question, know, say, said, make, us, take, legisl",budget,tax,question,know,say,said,make,us,take,legisl
20221027-HAN119-E.pdf,2022-10-27,44-1,68082,31853,0.378113461199701,1,dental,"care, dental, quebec, health, support, need, say, know, want, common",care,dental,quebec,health,support,need,say,know,want,common
20201117-HAN030-E.pdf,2020-11-17,43-2,67694,32759,0.3000668924571727,6,foreign,"china, nation, secur, chines, right, work, foreign, make, huawei, need",china,nation,secur,chines,right,work,foreign,make,huawei,need
20231023-HAN237-E.pdf,2023-10-23,44-1,62097,29755,0.34271520760512175,6,support,"trade, ukrain, agreement, free, want, import, support, countri, make, order",trade,ukrain,agreement,free,want,import,support,countri,make,order
20220330-HAN049-E.pdf,2022-03-30,44-1,31639,15604,0.2434312755091681,2,order,"common, support, order, benefit, need, week, crimin, system, work, sentenc",common,support,order,benefit,need,week,crimin,system,work,sentenc
20130614-HAN270-E.pdf,2013-06-14,41-1,49037,23389,0.33594680774399777,6,parliamentari,"nation, first, museum, ontario, elect, qubec, parliamentari, secretari, leader, new",nation,first,museum,ontario,elect,qubec,parliamentari,secretari,leader,new
20170516-HAN178-E.pdf,2017-05-16,42-1,76389,32097,0.30651628765078476,4,bargain,"rcmp, right, work, women, bargain, issu, want, relat, import, question",rcmp,right,work,women,bargain,issu,want,relat,import,question
20060601-HAN031-E.pdf,2006-06-01,39-1,78774,32980,0.387792336341798,0,price,"price, oil, industri, compani, tax, competit, make, know, want, profit",price,oil,industri,compani,tax,competit,make,know,want,profit
20210412-HAN078-E.pdf,2021-04-12,43-2,85354,40724,0.2791609462059602,0,need,"need, work, pandem, tax, health, want, question, get, support, number",need,work,pandem,tax,health,want,question,get,support,number
20120131-HAN070-E.pdf,2012-01-31,41-1,75610,32341,0.4237674576721116,4,save,"plan, pension, retir, senior, save, work, busi, invest, incom, make",plan,pension,retir,senior,save,work,busi,invest,incom,make
20080618-HAN115-E.pdf,2008-06-18,39-2,36388,14890,0.3018854229709249,5,analysi,"women, tax, gender, common, equal, analysi, need, polici, nation, want",women,tax,gender,common,equal,analysi,need,polici,nation,want
20070502-HAN145-E.pdf,2007-05-02,39-1,44935,18512,0.23003706793196854,2,sentenc,"crime, minimum, sentenc, like, common, region, us, debat, support, parti",crime,minimum,sentenc,like,common,region,us,debat,support,parti
20111206-HAN061-E.pdf,2011-12-06,41-1,78925,32221,0.3643641599565278,5,provinc,"seat, represent, quebec, fair, common, provinc, number, popul, port, us",seat,represent,quebec,fair,common,provinc,number,popul,port,us
20190128-HAN372-E.pdf,2019-01-28,42-1,88002,38142,0.2707701560777268,4,develop,"tax, question, common, sustain, develop, mani, countri, want, regard, go",tax,question,common,sustain,develop,mani,countri,want,regard,go
20210608-HAN113-E.pdf,2021-06-08,43-2,73644,35787,0.33834900338375967,3,need,"hous, home, afford, need, tax, work, suppli, nation, support, unit",hous,home,afford,need,tax,work,suppli,nation,support,unit
20221025-HAN117-E.pdf,2022-10-25,44-1,73326,34562,0.3740351796997958,6,common,"issu, monarchi, talk, quebec, bloc, today, common, say, want, qubcoi",issu,monarchi,talk,quebec,bloc,today,common,say,want,qubcoi
20091209-HAN127-E.pdf,2009-12-09,40-2,38387,15800,0.23766904404089678,4,equiti,"pay, women, right, work, equiti, countri, nation, common, question, worker",pay,women,right,work,equiti,countri,nation,common,question,worker
20170920-HAN202-E.pdf,2017-09-20,42-1,43988,18457,0.20927082092164967,6,commun,"tax, portugues, want, make, vehicl, know, commun, talk, support, safeti",tax,portugues,want,make,vehicl,know,commun,talk,support,safeti
20060529-HAN028-E.pdf,2006-05-29,39-1,67217,28512,0.3777392226843118,1,condit,"sentenc, condit, crime, offenc, seriou, justic, crimin, year, use, commun",sentenc,condit,crime,offenc,seriou,justic,crimin,year,use,commun
20080204-HAN043-E.pdf,2008-02-04,39-2,69383,29387,0.32836610358910573,3,quebec,"young, justic, crime, quebec, make, youth, want, support, drug, get",young,justic,crime,quebec,make,youth,want,support,drug,get
20231214-HAN268-E.pdf,2023-12-14,44-1,70839,33146,0.32341583163245397,0,worker,"worker, work, go, know, want, legisl, common, get, like, right",worker,work,go,know,want,legisl,common,get,like,right
20190404-HAN398-E.pdf,2019-04-04,42-1,65000,28724,0.2788986986996547,4,know,"attorney, gener, said, former, know, justic, common, want, us, right",attorney,gener,said,former,know,justic,common,want,us,right
20170403-HAN158-E.pdf,2017-04-03,42-1,82212,34412,0.33063646389032725,1,budget,"want, budget, chang, question, work, like, make, common, need, use",want,budget,chang,question,work,like,make,common,need,use
20161124-HAN114-E.pdf,2016-11-24,42-1,78404,34476,0.41293382585661903,1,nation,"park, nation, roug, ecolog, integr, urban, protect, area, land, work",park,nation,roug,ecolog,integr,urban,protect,area,land,work
20200204-HAN014-E.pdf,2020-02-04,43-1,69766,33496,0.3570859135193554,2,women,"parol, board, women, need, work, appoint, sex, violenc, make, question",parol,board,women,need,work,appoint,sex,violenc,make,question
20181001-HAN329-E.pdf,2018-10-01,42-1,70123,29154,0.3077327687938915,2,militari,"victim, right, militari, system, justic, support, want, forc, make, filipino",victim,right,militari,system,justic,support,want,forc,make,filipino
20190503-HAN409-E.pdf,2019-05-03,42-1,43376,18423,0.29484274551519263,1,indigen,"commun, indigen, nation, children, servic, first, need, work, rural, fund",commun,indigen,nation,children,servic,first,need,work,rural,fund
20220215-HAN031-E.pdf,2022-02-15,44-1,99092,45662,0.35309508146641744,6,know,"senior, need, support, work, import, benefit, know, incom, make, mani",senior,need,support,work,import,benefit,know,incom,make,mani
20140513-HAN085-E.pdf,2014-05-13,41-2,70817,29582,0.37383297710514346,4,like,"elect, vote, offic, elector, like, voter, common, said, chief, want",elect,vote,offic,elector,like,voter,common,said,chief,want
20160513-HAN055-E.pdf,2016-05-13,42-1,41235,16979,0.37511867977021346,3,right,"conscienc, care, health, right, assist, medic, protect, need, provid, die",conscienc,care,health,right,assist,medic,protect,need,provid,die
20171205-HAN245-E.pdf,2017-12-05,42-1,74787,30570,0.29981219915985285,5,us,"inform, access, want, say, know, us, request, chang, right, said",inform,access,want,say,know,us,request,chang,right,said
20120528-HAN128-E.pdf,2012-05-28,41-1,74108,31450,0.3887197572370343,5,work,"countri, agreement, trade, worker, right, work, panama, want, make, job",countri,agreement,trade,worker,right,work,panama,want,make,job
20170410-HAN163-E.pdf,2017-04-10,42-1,58305,24537,0.28177485102593597,4,nation,"yukon, want, first, common, nation, process, mani, environment, develop, cbc",yukon,want,first,common,nation,process,mani,environment,develop,cbc
20130507-HAN248-E.pdf,2013-05-07,41-1,114971,49440,0.21376865158475855,4,tax,"countri, syria, budget, syrian, tax, support, want, work, job, like",countri,syria,budget,syrian,tax,support,want,work,job,like
20210423-HAN087-E.pdf,2021-04-23,43-2,40167,19635,0.23487864490569196,5,common,"gun, pension, firearm, want, support, common, mani, like, work, ms",gun,pension,firearm,want,support,common,mani,like,work,ms
20091104-HAN107-E.pdf,2009-11-04,40-2,43185,18049,0.3462470784541773,1,vaccin,"health, vaccin, commun, million, work, nation, countri, first, support, need",health,vaccin,commun,million,work,nation,countri,first,support,need
20070302-HAN122-E.pdf,2007-03-02,39-1,50159,23388,0.3306053404436206,3,secretari,"board, ontario, wheat, secretari, senior, parliamentari, farmer, market, fact, women",board,ontario,wheat,secretari,senior,parliamentari,farmer,market,fact,women
20131021-HAN004-E.pdf,2013-10-21,41-2,77903,32282,0.27434120588064453,3,common,"want, work, first, common, could, safeti, question, like, issu, new",want,work,first,common,could,safeti,question,like,issu,new
20220209-HAN027-E.pdf,2022-02-09,44-1,35482,17223,0.34797406506122935,6,work,"right, health, continu, countri, get, pandem, work, trudeau, need, end",right,health,continu,countri,get,pandem,work,trudeau,need,end
20161025-HAN097-E.pdf,2016-10-25,42-1,73130,30094,0.43575926871724996,6,busi,"plan, retir, cpp, pension, make, work, busi, tax, save, mani",plan,retir,cpp,pension,make,work,busi,tax,save,mani
20180417-HAN280-E.pdf,2018-04-17,42-1,73113,30576,0.29778277372860756,5,get,"budget, talk, report, opposit, want, get, us, question, work, common",budget,talk,report,opposit,want,get,us,question,work,common
20170621-HAN199-E.pdf,2017-06-21,42-1,43331,18307,0.2825957289271917,5,question,"women, right, work, us, trudeau, question, common, want, preclear, nation",women,right,work,us,trudeau,question,common,want,preclear,nation
20120405-HAN107-E.pdf,2012-04-05,41-1,45266,18232,0.20257531067322887,5,human,"right, gender, rail, common, gener, human, nation, need, safeti, question",right,gender,rail,common,gener,human,nation,need,safeti,question
20070608-HAN167-E.pdf,2007-06-08,39-1,54743,25278,0.3707267894282557,0,ontario,"ontario, budget, blood, know, nation, order, tax, secretari, need, common",ontario,budget,blood,know,nation,order,tax,secretari,need,common
20220609-HAN085-E.pdf,2022-06-09,44-1,99735,48484,0.36934968226923637,5,crimin,"gun, firearm, sentenc, mandatori, commun, crimin, crime, work, minimum, need",gun,firearm,sentenc,mandatori,commun,crimin,crime,work,minimum,need
20080212-HAN049-E.pdf,2008-02-12,39-2,75192,30353,0.3201256643373748,1,elect,"reform, elect, want, need, senat, quebec, common, parti, us, question",reform,elect,want,need,senat,quebec,common,parti,us,question
20120227-HAN084-E.pdf,2012-02-27,41-1,67636,28004,0.2779092132191343,0,trade,"trade, want, elect, agreement, free, say, common, right, panama, make",trade,want,elect,agreement,free,say,common,right,panama,make
20180201-HAN255-E.pdf,2018-02-01,42-1,75591,31561,0.21821249765224146,5,make,"work, right, servic, want, parti, make, union, legisl, mani, leader",work,right,servic,want,parti,make,union,legisl,mani,leader
20170615-HAN195-E.pdf,2017-06-15,42-1,93350,38949,0.2703482472036437,0,like,"like, make, right, want, say, said, day, provis, crimin, common",like,make,right,want,say,said,day,provis,crimin,common
20230331-HAN177-E.pdf,2023-03-31,44-1,32744,16317,0.23274024045349923,2,work,"artist, corpor, work, question, art, tax, parliamentari, us, common, support",artist,corpor,work,question,art,tax,parliamentari,us,common,support
20150313-HAN186-E.pdf,2015-03-13,41-2,53198,25502,0.3565417197509165,2,site,"health, ontario, site, secretari, parliamentari, commun, need, provid, work, dementia",health,ontario,site,secretari,parliamentari,commun,need,provid,work,dementia
20140514-HAN087-E.pdf,2014-05-14,41-2,75883,32210,0.33794913112387254,4,countri,"cbc, cut, broadcast, servic, countri, corpor, fund, nation, want, import",cbc,cut,broadcast,servic,countri,corpor,fund,nation,want,import
20070614-HAN171-E.pdf,2007-06-14,39-1,103520,44589,0.24263479921370026,6,want,"lake, health, railway, import, issu, state, want, us, water, work",lake,health,railway,import,issu,state,want,us,water,work
20190201-HAN376-E.pdf,2019-02-01,42-1,36354,15218,0.3005399169414876,2,make,"vessel, protect, make, work, amend, issu, common, like, abandon, need",vessel,protect,make,work,amend,issu,common,like,abandon,need
20070530HAN160-E.pdf,2007-05-30,39-1,41049,16501,0.2563346245960674,4,famili,"vote, drug, voter, may, famili, elect, want, countri, common, meth",vote,drug,voter,may,famili,elect,want,countri,common,meth
